url,name,artist,explicit,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg,WHATS POPPIN,Jack Harlow,True,85,139741,0.923,0.604,0.245,0.017,0,0.272,0.826,145.062
https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,True,77,315346,0.81,0.566,0.433,0.107,0,0.122,0.582,142.069
https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,True,82,188563,0.819,0.654,0.136,0.517,0,0.0996,0.455,133.503
https://open.spotify.com/track/3qHgGyJY4GpXNOK4WL4NSo,Red Eye,YoungBoy Never Broke Again,True,71,156076,0.485,0.814,0.138,0.217,0,0.112,0.327,159.894
https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,True,100,196652,0.896,0.586,0.0559,0.104,0,0.79,0.642,116.971
https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,Lil Mosey,True,87,162546,0.774,0.554,0.0383,0.207,0,0.132,0.349,99.034
https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),Roddy Ricch,True,90,220486,0.831,0.499,0.114,0.269,0,0.3,0.511,97.956
https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,True,87,157712,0.802,0.591,0.225,0.0104,0,0.196,0.309,139.864
https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,True,87,136366,0.816,0.582,0.341,0.0794,5.84e-06,0.0916,0.542,160.004
https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,True,82,213307,0.803,0.759,0.0494,0.00509,0,0.0921,0.284,104.0
https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ,"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne,True,82,184440,0.804,0.528,0.378,0.125,0,0.41,0.321,138.005
https://open.spotify.com/track/5R9k9x85lAYbamdUoKAJvj,Dior (with Gunna) - Remix,Pop Smoke,True,73,230386,0.73,0.816,0.304,0.177,1.23e-05,0.415,0.803,142.054
https://open.spotify.com/track/3ekxXNSH4mgUnMprSnopls,SHUT UP,DaBaby,True,71,170192,0.871,0.555,0.248,0.203,0,0.118,0.248,129.973
https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz,Sum 2 Prove,Lil Baby,True,84,205760,0.823,0.552,0.324,0.0174,0,0.122,0.418,124.038
https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI,Go Stupid,Polo G,True,78,165726,0.92,0.833,0.253,0.0277,0,0.0596,0.645,141.033
https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh,Broke In A Minute,Tory Lanez,True,79,132023,0.929,0.7,0.0906,0.144,0,0.349,0.802,120.009
https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,Woah,Lil Baby,True,87,183011,0.882,0.602,0.245,0.0177,0,0.178,0.43,142.959
https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,True,90,159714,0.769,0.787,0.367,0.189,0,0.129,0.836,126.77
https://open.spotify.com/track/09TZsMHXEtQkdmMJZPLKup,UP THE SMOKE (with Offset),Stunna 4 Vegas,True,66,188047,0.907,0.765,0.426,0.0512,0,0.153,0.896,142.992
https://open.spotify.com/track/0jBJIQuToUUOEx7JJkiPzm,How I Move (feat. Lil Baby),Flipp Dinero,True,79,224915,0.826,0.635,0.212,0.102,0,0.245,0.808,119.954
https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,True,85,244873,0.559,0.491,0.0346,0.0567,0,0.0992,0.114,153.131
https://open.spotify.com/track/4l2rsMfr20dj6nf6i6F3Y8,Might Not Give Up (feat. Young Thug),A Boogie Wit da Hoodie,True,77,225265,0.687,0.592,0.224,0.203,0,0.279,0.246,178.83
https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,True,87,198912,0.881,0.457,0.156,0.0327,0,0.231,0.296,136.97
