url,name,artist,explicit,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/3eFepXGITXNDXXHUNqouxi,Shake Me Down,Cage The Elephant,False,54,211373,0.457,0.613,0.0295,0.00463,0.000441,0.0711,0.132,105.11
https://open.spotify.com/track/51pQ7vY7WXzxskwloaeqyj,Stairway to Heaven - 1990 Remaster,Led Zeppelin,False,68,478173,0.346,0.335,0.0339,0.575,0.00674,0.185,0.213,84.204
https://open.spotify.com/track/6QHGyXR0m3PDStlyHN8dYK,Stay Alive,José González,False,16,266906,0.716,0.301,0.0365,0.702,0.145,0.0885,0.329,129.997
https://open.spotify.com/track/3usVf6rhG6vDjcodeavHde,Sozinho - Live In Brazil / 1998,Caetano Veloso,False,1,190496,0.48,0.283,0.187,0.634,0.000168,0.909,0.529,83.736
https://open.spotify.com/track/0sTr29gwWE4wIxjMLytsOu,If You Believe,Sasha,False,42,239973,0.367,0.522,0.0358,0.115,0,0.109,0.483,82.509
https://open.spotify.com/track/0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,False,67,181133,0.657,0.435,0.0552,0.739,0,0.167,0.771,135.975
https://open.spotify.com/track/1XxCiPw07rd1ytYnE7SoJI,Road Trippin',Red Hot Chili Peppers,False,61,204973,0.243,0.47,0.0353,0.309,0.000798,0.121,0.393,204.026
https://open.spotify.com/track/4QsnHKvJGVbWJs3Em9Mrcy,Lost Stars,Keira Knightley,False,5,240186,0.515,0.321,0.0271,0.671,1.66e-06,0.112,0.324,81.823
https://open.spotify.com/track/0THbsvMRmCHpFT3YLX301c,Hey There Delilah,Plain White T's,False,5,232813,0.658,0.296,0.0293,0.872,0,0.114,0.311,103.975
https://open.spotify.com/track/4PCyzOTAB7zfJaxaS1uLSY,O Vento,Los Hermanos,False,54,213866,0.665,0.685,0.0328,0.0247,1.08e-05,0.088,0.839,137.948
https://open.spotify.com/track/6kJmZqhB2Pf2442GOCAohB,Morena,Los Hermanos,False,52,178946,0.921,0.342,0.0366,0.478,0.0446,0.0741,0.852,104.029
https://open.spotify.com/track/3kHQ0iXkcLZ2Sd0T2G7lIF,O Vencedor,Los Hermanos,False,39,200026,0.682,0.881,0.027,0.353,0.263,0.238,0.911,109.999
https://open.spotify.com/track/0y8muA5wwCKAQmocFB34rR,Não existe amor em SP,Criolo,False,0,280032,0.604,0.412,0.0422,0.391,0.016,0.0759,0.346,142.002
https://open.spotify.com/track/0ZPquQV2aKmDfwPjvMdvRp,Último Romance,Los Hermanos,False,58,263440,0.406,0.665,0.0286,0.509,0.000641,0.112,0.553,159.997
https://open.spotify.com/track/2LWW6D1zabtolij6KFXQYm,Cartão Postal,Apanhador Só,False,42,256173,0.527,0.296,0.0347,0.918,0.000398,0.263,0.216,112.995
https://open.spotify.com/track/1rQZDmnKJIjzzTJrbBeEW2,Behind the Sea,Panic! At The Disco,False,45,213426,0.281,0.679,0.0449,0.173,4.38e-06,0.0919,0.441,80.078
