id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1EzrEOXmMH3G43AXT1y7pA,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,False,81,242186,11,1,4,0.686,0.457,0.0468,0.595,0,0.105,0.718,150.953
1TX4h6MrIZ0K3r4OOG11WO,https://open.spotify.com/track/1TX4h6MrIZ0K3r4OOG11WO,Flor de Lis,Djavan,A Voz e o Violão,False,61,225266,2,0,4,0.549,0.502,0.0493,0.223,0,0.0622,0.781,85.793
2ukW9zOr51AYeLSmCtTVqW,https://open.spotify.com/track/2ukW9zOr51AYeLSmCtTVqW,Não Me Deixe Só,Vanessa Da Mata,Vanessa da Mata,False,54,189666,2,1,4,0.731,0.469,0.0379,0.333,0.0115,0.0976,0.641,107.093
55h7vJchibLdUkxdlX3fK7,https://open.spotify.com/track/55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,Unorthodox Jukebox,True,75,178560,5,0,4,0.874,0.692,0.0431,0.0412,7.24e-05,0.324,0.937,116.017
5nxNqPGJJD1hwh2v2WZhje,https://open.spotify.com/track/5nxNqPGJJD1hwh2v2WZhje,Walk Away,Franz Ferdinand,You Could Have It So Much Better,False,51,216333,2,1,4,0.585,0.834,0.0336,0.122,2.75e-06,0.374,0.512,124.117
5MVkWRKMBO3r05oihuNbzM,https://open.spotify.com/track/5MVkWRKMBO3r05oihuNbzM,Warriors,Imagine Dragons,Warriors,False,4,170066,4,0,4,0.347,0.83,0.0633,0.0674,0.00463,0.201,0.312,78.06
3u1Er1rkjn1oSz1xdZH3ZD,https://open.spotify.com/track/3u1Er1rkjn1oSz1xdZH3ZD,Call It What You Want,Foster The People,Torches,False,62,238786,5,0,4,0.641,0.967,0.0601,0.0483,0.000276,0.442,0.725,113.017
5Q4H1XkVHxQjnrHCUpS61d,https://open.spotify.com/track/5Q4H1XkVHxQjnrHCUpS61d,Nicotine,Panic! At The Disco,"Too Weird To Live, Too Rare To Die!",False,64,186600,5,0,4,0.592,0.891,0.0522,0.000912,0.000128,0.25,0.571,127.955
7tvOve5IkjYenvqScZ75iQ,https://open.spotify.com/track/7tvOve5IkjYenvqScZ75iQ,Best Friend,Foster The People,Supermodel,False,57,267826,1,1,4,0.651,0.866,0.0584,0.00933,0,0.113,0.801,113.945
3aRn4Q8EdXvyUhVNi7925L,https://open.spotify.com/track/3aRn4Q8EdXvyUhVNi7925L,Ruby,Kaiser Chiefs,Souvenir : The Singles 2004 - 2012,False,31,203026,5,0,4,0.451,0.94,0.0491,0.00732,4.26e-06,0.0776,0.468,93.631
